date,casual,member,total_rides,casual_share,avg_ride_length_mins,avg_casual_ride_length_mins,avg_member_ride_length_mins,temp_max,temp_min,temp_mean,precip_mm,rain_any,rain_1mm,rain_5mm
2025-01-01,346,832,1178,0.2937181663837012,8.990863596491229,13.314307803468209,7.19289280849359,10.9,3.9,7.4,4.5,1,1,0
2025-01-02,220,1489,1709,0.12873025160912815,6.826267973473766,8.32084643939394,6.605443754197448,5.4,0.3,2.6,0.0,0,0,0
2025-01-03,274,1496,1770,0.15480225988700566,6.765169792843691,8.799531326034064,6.392566143048128,3.2,-1.9,0.4,0.0,0,0,0
2025-01-04,265,1072,1337,0.19820493642483172,7.481250473697332,9.231497421383647,7.048586815920398,-0.1,-2.7,-1.4,0.0,0,0,0
2025-01-05,217,972,1189,0.1825063078216989,6.916327403980937,8.787101766513057,6.498675102880658,0.3,-3.6,-2.2,0.0,0,0,0
2025-01-06,135,1254,1389,0.09719222462203024,6.77772956563475,8.003167777777778,6.645804399255716,-1.5,-4.4,-2.3,1.7,1,1,0
2025-01-07,166,1417,1583,0.10486418193303854,6.381317803748157,7.525201506024096,6.247313079275465,-3.0,-8.7,-5.2,0.0,0,0,0
2025-01-08,184,1457,1641,0.11212675198049969,5.990162847856999,7.45551902173913,5.805107572637841,-2.5,-6.6,-4.3,0.0,0,0,0
2025-01-09,185,1476,1661,0.11137868753762793,6.754058087497492,6.772103423423424,6.751796307588076,-1.5,-6.8,-4.2,0.0,0,0,0
2025-01-10,252,1682,1934,0.13029989658738367,6.755331721820062,8.425853703703705,6.505051377328577,3.3,-3.8,-0.9,0.0,0,0,0
2025-01-11,270,1250,1520,0.17763157894736842,7.401168673245614,8.539332777777778,7.155325226666666,0.4,-2.9,-1.2,2.0,1,1,0
2025-01-12,305,1175,1480,0.20608108108108109,8.011004797297296,10.915283005464481,7.257128326241134,4.8,-1.9,0.6,0.0,0,0,0
2025-01-13,237,1885,2122,0.1116870876531574,6.615537338988376,7.520845569620253,6.501713439434129,6.6,-1.9,1.3,0.0,0,0,0
2025-01-14,188,1851,2039,0.0922020598332516,6.232334126205656,8.122537145390071,6.040352404105889,0.3,-3.7,-1.7,0.0,0,0,0
2025-01-15,184,1715,1899,0.09689310163243813,6.401152650517816,8.16110045289855,6.212330262390671,-1.0,-5.7,-3.4,0.0,0,0,0
2025-01-16,230,1765,1995,0.11528822055137844,6.342927376775272,7.456979275362318,6.197753474976393,-0.6,-5.9,-3.2,0.3,1,0,0
2025-01-17,293,1810,2103,0.1393247741321921,6.642838056744334,7.663203469852104,6.47766288213628,5.0,-4.9,-0.7,0.0,0,0,0
2025-01-18,259,1076,1335,0.1940074906367041,7.572303832709113,8.86078725868726,7.262157729244114,6.5,-0.9,2.8,2.1,1,1,0
2025-01-19,179,826,1005,0.1781094527363184,7.912267180762853,12.962217504655495,6.817907485875706,2.6,-2.0,0.7,8.8,1,1,1
2025-01-20,82,678,760,0.10789473684210527,7.860783552631578,8.761864024390244,7.75180331858407,-2.6,-10.5,-7.1,0.2,1,0,0
2025-01-21,101,1141,1242,0.08132045088566828,6.571572463768116,8.37276798679868,6.412132719836401,-8.4,-15.8,-11.4,0.4,1,0,0
2025-01-22,105,1204,1309,0.08021390374331551,6.194314960529666,6.754204126984127,6.145487416943522,-8.1,-16.6,-11.8,0.0,0,0,0
2025-01-23,188,1447,1635,0.11498470948012232,6.530385351681958,8.419071985815604,6.284999665975582,-3.5,-13.1,-8.6,0.0,0,0,0
2025-01-24,200,1512,1712,0.11682242990654206,6.923573052959502,7.252379666666667,6.8800801146384485,-1.0,-10.6,-6.3,0.0,0,0,0
2025-01-25,252,1149,1401,0.17987152034261242,6.955110837497026,7.5726916005291,6.819662315056571,-2.0,-13.0,-7.0,0.0,0,0,0
2025-01-26,254,1201,1455,0.17457044673539518,7.279185761741123,9.274694225721785,6.85715482930891,4.1,-5.6,-1.0,0.0,0,0,0
2025-01-27,199,1831,2030,0.0980295566502463,6.1052941789819375,6.961581658291457,6.012229619515747,2.0,-4.8,-1.3,0.0,0,0,0
2025-01-28,245,1953,2198,0.11146496815286625,6.441952070063694,8.694372789115647,6.159390331114525,4.4,-3.0,0.7,0.0,0,0,0
2025-01-29,260,2097,2357,0.1103097157403479,6.664445318908216,8.259131794871795,6.466725488793514,9.1,0.3,4.1,0.0,0,0,0
2025-01-30,217,1812,2029,0.10694923607688517,6.057513150977493,5.889266513056835,6.077661892935982,1.0,-6.2,-2.0,0.0,0,0,0
2025-01-31,226,1328,1554,0.14543114543114544,6.832380866580867,8.98528790560472,6.465997590361447,6.2,0.7,3.6,10.3,1,1,1
2025-02-01,303,1134,1437,0.21085594989561587,7.299942495940617,9.575036853685368,6.692046913580247,6.2,-5.8,0.7,2.4,1,1,0
2025-02-02,195,902,1097,0.17775752051048313,7.963868580978426,9.92048205128205,7.5408756467110125,1.4,-9.6,-4.5,1.2,1,1,0
2025-02-03,207,1588,1795,0.11532033426183844,7.011788449396471,9.37193115942029,6.704137604953821,6.1,-3.0,1.9,0.3,1,0,0
2025-02-04,214,1846,2060,0.10388349514563107,6.9244220954692555,8.045393925233645,6.794471948356808,6.2,-0.5,3.6,0.3,1,0,0
2025-02-05,216,1771,1987,0.10870659285354806,7.002087627914779,7.849166358024691,6.898773677771503,1.8,-3.5,-1.4,0.0,0,0,0
2025-02-06,136,1034,1170,0.11623931623931624,6.841709088319088,8.315547916666667,6.647857946486138,4.4,-1.9,1.1,8.5,1,1,1
2025-02-07,224,1699,1923,0.11648465938637545,7.022123010920437,8.465419345238095,6.8318355601334115,5.1,-2.7,1.4,0.0,0,0,0
2025-02-08,205,1126,1331,0.15401953418482345,7.776331154520411,9.700727073170732,7.425974881586737,1.1,-4.4,-1.8,7.8,1,1,1
2025-02-09,115,599,714,0.16106442577030813,7.7895803921568625,10.58772927536232,7.252373177518085,1.4,-2.2,-0.1,6.4,1,1,1
2025-02-10,134,1343,1477,0.0907244414353419,7.6853183141503045,11.646352736318407,7.290099689749318,0.6,-5.2,-2.1,0.0,0,0,0
2025-02-11,174,1490,1664,0.1045673076923077,7.023773537660256,8.661735153256705,6.832494798657718,-0.2,-9.2,-4.2,1.2,1,1,0
2025-02-12,140,1344,1484,0.09433962264150944,6.501308692722372,7.340294285714286,6.413914360119048,0.4,-2.2,-0.7,4.5,1,1,0
2025-02-13,186,1546,1732,0.10739030023094688,7.354312827174749,9.154950806451613,7.137677210004312,7.2,0.6,3.4,6.6,1,1,1
2025-02-14,272,1518,1790,0.15195530726256984,7.189916722532589,9.968136825980393,6.69210653271849,1.0,-3.2,-1.1,0.0,0,0,0
